,item_id,recommend,user_id,sentiment_analysis,date
72,331470,True,KanadeTheNeko,2,"November 20, 2014"
73,4000,True,KanadeTheNeko,1,"May 29, 2014"
74,323370,True,Leaf_Light_Moscow,2,
75,304930,True,GoAwayZach,2,"December 29, 2014"
76,12210,True,76561198054540475,1,"February 13, 2015"
77,265210,True,76561198054540475,1,"December 26, 2014"
78,48700,True,76561198054540475,1,"February 4, 2014"
79,238460,True,76561198085547365,2,
80,34900,True,76561198085547365,2,
81,730,True,76561198061252210,1,"May 21, 2015"
82,113200,True,OfficialShroomsy,1,"December 6, 2013"
83,440,True,boydeer,1,"May 12, 2014"
84,383080,False,boydeer,1,"August 24, 2015"
85,213670,True,VVillis,1,"January 6, 2015"
86,105600,True,76561198083226897,1,"December 22, 2015"
87,730,True,76561198075277292,1,"June 23, 2015"
88,570,True,76561198075277292,1,"September 11, 2015"
89,231180,True,76561198028895010,2,"April 22, 2013"
90,620,True,76561198028895010,2,"May 27, 2012"
91,271290,True,76561198170198366,2,
92,4000,True,diego9031,1,
93,317360,True,diego9031,1,
94,223710,True,diego9031,1,"December 5, 2015"
95,299360,True,diego9031,1,"October 4, 2015"
96,322330,True,diego9031,1,"October 3, 2015"
97,1250,True,diego9031,1,"August 13, 2015"
98,12100,True,diego9031,1,"February 22, 2015"
99,204360,True,diego9031,2,"January 14, 2015"
100,440,True,diego9031,0,"December 14, 2013"
101,224260,True,diego9031,1,"December 1, 2013"
102,440,True,jarrodtrim,2,"February 11, 2012"
103,304930,True,76561198078738103,1,
104,440,True,76561198067936203,1,"March 12, 2015"
105,1840,True,76561198079770573,1,"October 14, 2015"
106,440,True,76561198087586464,2,"October 27, 2013"
107,440,True,Derp-e,1,"November 27, 2015"
108,233250,True,76561198070194565,1,"October 9, 2014"
109,449140,True,76561198070194565,1,
110,368730,True,76561198070194565,1,
111,246280,True,76561198070194565,1,
112,427270,True,76561198070194565,2,
113,397100,True,76561198070194565,1,
114,248570,True,76561198070194565,1,"November 9, 2015"
115,298630,True,Rivtex,1,"December 23, 2015"
116,244210,True,UTNerd24,1,"May 6, 2014"
117,440,True,UTNerd24,1,"December 2, 2015"
118,376920,True,UTNerd24,1,"June 6, 2015"
119,257750,True,UTNerd24,1,"September 29, 2015"
120,221910,True,UTNerd24,0,"September 8, 2014"
121,2280,True,UTNerd24,2,"December 15, 2013"
122,417860,False,sandwiches1,1,"November 23, 2015"
123,218620,True,76561198138053270,1,"June 1, 2014"
124,218620,True,lucaswerg,1,"July 11, 2014"
125,222880,True,lucaswerg,1,"November 14, 2014"
126,377160,True,Life-Of-Blu,2,"November 13, 2015"
127,211820,True,Life-Of-Blu,1,"December 15, 2013"
128,252490,True,CaptianAutismo,2,"December 17, 2015"
129,440,True,76561198075895633,1,"October 26, 2014"
130,242920,True,TheDropix101,1,
131,251990,True,kube134,2,"June 28, 2014"
132,344760,False,iamthekingofbrowntown,0,"September 12, 2015"
133,252950,True,iamthekingofbrowntown,1,"September 13, 2015"
134,236430,True,iamthekingofbrowntown,1,
135,399730,True,iamthekingofbrowntown,1,"October 14, 2015"
136,550,True,MainScout,1,
137,377160,True,yookobz,2,"November 19, 2015"
138,219150,True,yookobz,2,"June 25, 2013"
139,277430,True,Posiblydead,1,"April 11, 2014"
140,239820,True,Posiblydead,2,"February 22, 2014"
141,17410,True,Posiblydead,2,"September 24, 2012"
142,440,True,Mossy_Gaming,2,"September 26, 2015"
143,270550,True,76561198102421718,1,"June 12, 2015"
144,274940,True,76561198102421718,1,"August 3, 2015"
145,333930,True,76561198102421718,1,"June 26, 2015"
146,440,True,76561198087407319,0,"January 15, 2014"
147,730,True,76561198056741844,1,"October 14, 2014"
148,294100,True,sad-commie,1,
149,212070,True,sad-commie,2,"July 9, 2014"
150,264140,True,sad-commie,1,"March 13, 2014"
151,332800,True,76561198030567998,1,"November 11, 2014"
152,319630,True,76561198030567998,1,"July 21, 2015"
153,6020,True,76561198030567998,1,"July 5, 2015"
154,55230,True,76561198030567998,1,"March 12, 2015"
155,32430,True,76561198030567998,1,"February 23, 2014"
156,377160,False,76561198010674657,1,
157,440,True,76561198010674657,1,
158,35450,True,Coldaniel,2,"March 22, 2015"
159,440,True,Coldaniel,1,"August 21, 2014"
160,236390,True,Coldaniel,2,"March 13, 2015"
161,351570,True,therealmorty,1,"March 20, 2015"
162,212680,True,therealmorty,0,"March 7, 2015"
163,391540,True,Berserklejerker,1,"October 10, 2015"
164,550,True,76561198061730629,1,"July 6, 2014"
165,440,True,YoHuNz,1,"June 19, 2014"
166,570,True,YoHuNz,1,"February 19, 2014"
167,72850,True,possessioniskey,2,"April 11, 2015"
168,440,True,possessioniskey,1,"December 24, 2015"
169,113400,True,possessioniskey,1,"May 17, 2014"
170,440,True,76561198093112529,1,"August 9, 2014"
171,200510,True,76561198060447950,1,"September 26, 2015"
172,730,True,whiteofwolfing,1,"May 22, 2015"
173,383080,True,sergarino,1,"August 22, 2015"
174,200210,True,76561198081962345,2,
175,1250,True,76561198081962345,1,"April 5, 2014"
176,304050,True,76561198073210139,0,
177,265610,True,Nozomikat,1,"December 30, 2015"
178,264200,True,Nozomikat,1,"August 1, 2014"
179,417860,True,Nozomikat,1,"December 26, 2015"
180,333600,True,Nozomikat,2,"April 14, 2015"
181,213670,True,Nozomikat,1,"December 30, 2014"
182,91310,True,Nozomikat,1,"December 4, 2013"
183,437220,False,Nozomikat,1,
184,210770,True,Nozomikat,1,"December 4, 2013"
185,351640,True,xfluttersx,1,"November 10, 2015"
186,202530,False,xfluttersx,1,
187,105600,True,xfluttersx,2,"August 27, 2012"
188,440,True,xfluttersx,2,"February 5, 2014"
189,47870,True,xfluttersx,2,"January 27, 2013"
190,383080,True,xfluttersx,1,"August 25, 2015"
191,410,True,xfluttersx,2,"August 27, 2012"
192,730,True,76561198056290589,2,"December 16, 2014"
193,253710,False,ii_voltage_ii,1,"June 29, 2014"
194,339280,True,ii_voltage_ii,2,"April 11, 2015"
195,271290,True,ii_voltage_ii,2,"March 8, 2014"
196,203290,True,ii_voltage_ii,2,"November 16, 2013"
197,440,True,76561198097762318,1,"November 11, 2015"
198,233150,True,76561198097762318,1,"December 26, 2014"
199,550,True,Hirukaz,1,"January 17, 2013"
200,730,True,StelerForYou,1,"July 17, 2015"
201,211820,True,StelerForYou,1,"December 29, 2013"
202,440,True,76561198183396245,2,"May 6, 2015"
203,346330,False,Xx-Woods,1,
204,224260,True,Xx-Woods,2,"January 26, 2015"
205,317360,True,Xx-Woods,1,"November 16, 2014"
206,295550,True,Xx-Woods,1,"August 17, 2014"
207,250180,True,Xx-Woods,1,"July 21, 2014"
208,227940,True,Xx-Woods,1,"July 19, 2014"
209,17520,True,Xx-Woods,1,"February 8, 2014"
210,113420,True,Xx-Woods,2,"January 7, 2014"
211,320760,True,kevinator23,1,"July 6, 2015"
212,8850,True,kevinator23,1,"September 6, 2015"
213,233720,True,kevinator23,1,"April 24, 2014"
214,218620,True,kevinator23,1,"July 6, 2015"
215,730,True,kevinator23,1,"January 27, 2015"
216,219740,True,kevinator23,2,"January 25, 2015"
217,220240,True,kevinator23,1,"May 24, 2014"
218,440,True,kevinator23,1,"October 20, 2012"
219,4000,True,76561198090715178,1,"March 28, 2014"
220,304930,True,76561198090715178,2,"July 9, 2014"
221,333950,True,CatsWhale,1,"February 23, 2015"
222,388520,True,CatsWhale,1,"August 29, 2015"
223,107410,True,CatsWhale,1,"November 23, 2014"
224,206210,True,CatsWhale,1,"September 9, 2014"
225,221100,True,76561198073784601,2,"March 26, 2015"
226,299740,False,76561198073784601,0,
227,730,True,mimimomoma,0,"November 23, 2015"
228,440,True,76561198102410011,1,"September 14, 2015"
229,209870,True,de_Butl3r,1,"October 13, 2014"
230,322170,True,76561198027947401,1,
231,304050,True,76561198027947401,2,
232,440,True,Bluezap1,1,"December 27, 2015"
233,730,True,Bluezap1,2,"May 13, 2015"
234,362890,True,Bluezap1,1,"December 27, 2015"
235,413850,True,Bluezap1,1,"December 21, 2015"
236,730,True,76561198074200011,1,"November 15, 2015"
237,346110,True,jonasdbomb,1,
238,570,True,L1J1N,2,"June 13, 2014"
239,311560,True,Lord_Exploit,1,"March 13, 2015"
240,322170,True,Lord_Exploit,1,"January 7, 2015"
241,48240,False,AVATAR715,1,"January 2, 2014"
242,440,True,AVATAR715,2,"November 18, 2015"
243,248570,True,AVATAR715,1,"June 1, 2014"
244,264140,True,AVATAR715,1,"March 18, 2014"
245,4000,True,AVATAR715,1,"February 16, 2014"
246,266430,True,AVATAR715,2,"February 25, 2015"
247,316010,True,AVATAR715,1,"August 15, 2015"
248,249570,True,AVATAR715,1,"December 25, 2014"
249,730,True,YieuwMage,1,
250,240,True,76561198078752187,0,"December 16, 2014"
251,304930,True,A-Very-Sly-Person,1,"August 14, 2015"
252,440,True,A-Very-Sly-Person,1,"November 11, 2014"
253,730,True,76561198211054671,0,
254,333930,True,76561198211054671,0,
255,365590,True,76561197994493402,1,
256,264200,True,76561197994493402,2,"March 1, 2015"
257,440,True,76561197994493402,2,"November 27, 2014"
258,298050,False,Koolcaz12,2,
259,383080,True,76561198065656175,1,"November 20, 2015"
260,440,True,76561198188979775,1,
261,301520,True,97396295,2,"August 23, 2014"
262,243870,True,97396295,1,"June 17, 2014"
263,218230,False,97396295,2,"July 10, 2014"
264,291550,False,97396295,1,
265,251570,True,76561198126640317,1,"June 15, 2015"
266,221100,True,76561198126640317,1,"February 14, 2015"
267,316010,True,76561198126640317,1,"September 12, 2015"
268,218230,True,76561198126640317,1,"September 12, 2015"
269,333930,True,76561198126640317,2,"July 1, 2015"
270,222880,True,76561198126640317,1,"July 1, 2015"
271,730,True,76561198126640317,1,"June 15, 2015"
272,55230,True,DemonicWolvz,1,"January 15, 2015"
273,232090,True,DemonicWolvz,2,"April 29, 2015"
274,4000,True,DemonicWolvz,1,"March 29, 2015"
275,206420,True,DemonicWolvz,2,"November 23, 2014"
276,224260,True,DemonicWolvz,1,"February 12, 2014"
277,550,True,DemonicWolvz,2,"December 26, 2013"
278,346110,True,DieMadchenschanderin,1,"August 29, 2015"
279,380770,False,DieMadchenschanderin,1,"October 5, 2015"
280,454890,True,DieMadchenschanderin,1,
281,227680,False,DieMadchenschanderin,1,"June 14, 2013"
282,570,False,GGargula,1,
283,233250,True,GGargula,1,"November 23, 2015"
284,273350,True,Myther43,2,
285,730,True,getf0kinn0sc0pedm9,0,"May 31, 2015"
286,440,False,getf0kinn0sc0pedm9,1,
287,730,True,76561198141443390,2,"May 3, 2015"
288,570,True,76561198097333029,0,
289,730,True,whodafuqisthisguilao,2,"August 6, 2015"
290,370480,True,Magjiikal,2,"October 5, 2015"
291,313740,True,Magjiikal,1,"December 17, 2015"
292,1840,True,ohnospaghet,2,"December 17, 2014"
293,440,True,ohnospaghet,1,"September 30, 2014"
294,266210,True,ohnospaghet,2,"March 10, 2015"
295,369200,True,ohnospaghet,1,
296,252490,False,ohnospaghet,1,
297,264200,True,ohnospaghet,1,"March 10, 2015"
298,292030,True,76561198050347115,1,
299,287700,True,2768820078,1,"September 1, 2015"
300,730,False,2768820078,1,
301,310950,True,2768820078,1,
302,377160,True,2768820078,1,"November 18, 2015"
303,221380,True,2768820078,1,"August 8, 2015"
304,333950,True,2768820078,1,"July 15, 2015"
305,222420,False,2768820078,1,"June 12, 2015"
306,271590,True,2768820078,1,"May 19, 2015"
307,298110,True,2768820078,1,"May 11, 2015"
308,222440,True,2768820078,1,"May 2, 2015"
309,259530,True,76561198056392326,1,
310,219640,False,76561198056392326,1,
311,269210,False,76561198056392326,1,
312,317470,False,2d4nk4m3,1,"August 20, 2014"
313,47410,True,2d4nk4m3,2,"March 18, 2014"
314,730,True,76561198078478151,1,
315,365450,True,exiaez,1,
316,245620,True,76561198095921854,2,"May 1, 2015"
317,70,True,EizanAratoFujimaki,1,"October 28, 2015"
318,359550,False,EizanAratoFujimaki,1,
319,274980,True,TeCool,1,"December 15, 2014"
320,202090,True,TeCool,1,"December 6, 2014"
321,339280,True,TeCool,1,"April 11, 2015"
322,314130,False,TeCool,0,"January 31, 2015"
323,570,True,2xDelorean,1,"September 13, 2015"
324,212680,True,2xDelorean,1,"July 26, 2013"
325,200210,True,2xDelorean,2,"May 18, 2013"
326,440,True,2xDelorean,2,"October 30, 2011"
327,440,False,washington_,1,
328,4000,True,washington_,2,
329,211820,True,washington_,1,
330,10180,True,washington_,1,
331,252490,True,washington_,1,
332,417860,True,washington_,1,"December 13, 2015"
333,251970,True,jewxxl,2,"May 18, 2015"
334,359550,True,76561198088944293,1,
335,107410,True,76561198088944293,2,
336,218230,False,76561198088944293,1,
337,437701,False,76561198088944293,1,
338,304930,True,76561198088944293,1,"December 13, 2014"
339,400,True,76561198092540221,1,"July 31, 2015"
340,620,True,76561198092540221,2,"June 29, 2015"
341,238460,True,76561198092540221,2,"June 29, 2015"
342,6060,True,76561198092540221,2,"February 12, 2015"
343,440,True,76561198092540221,2,"March 29, 2014"
344,730,True,76561198051258119,1,"February 4, 2015"
345,265610,True,nubquake123,1,"April 21, 2014"
346,31280,True,Pyromanic,1,"February 15, 2013"
347,4000,True,Pyromanic,2,"February 15, 2013"
348,240,True,Pyromanic,2,"February 15, 2013"
349,440,True,76561198109656922,2,
350,252490,True,CobRazor,0,"August 1, 2015"
351,8930,True,relesprit,2,"December 27, 2013"
352,304930,True,WitchHunter4542,2,"July 16, 2014"
353,237310,True,WitchHunter4542,1,"January 13, 2015"
354,224260,True,WitchHunter4542,1,"January 11, 2014"
355,230410,True,pwrt,1,"September 3, 2015"
356,440,True,pwrt,2,"January 20, 2014"
357,440,True,wantmahbody,2,"May 3, 2014"
358,219640,False,76561198115868847,0,
359,570,True,benedictcuminherbatch,2,"August 2, 2014"
360,8930,True,76561198031207016,2,"March 17, 2014"
361,105600,True,76561198043458582,0,"July 19, 2015"
362,221100,True,76561198043458582,1,"May 26, 2015"
363,107410,True,76561198043458582,1,"November 22, 2015"
364,231430,True,76561198043458582,1,"October 18, 2014"
365,218620,True,smashiroshh,1,"December 30, 2014"
366,225540,True,shark854,2,
367,570,True,killbunny38,2,"January 22, 2015"
368,333930,False,killbunny38,0,"August 20, 2015"
369,230410,False,76561198047630659,1,"May 14, 2015"
370,271590,True,1337lolroflmao,1,"April 13, 2015"
371,218620,True,1337lolroflmao,1,"October 1, 2014"
372,219740,True,1337lolroflmao,1,"December 28, 2013"
373,7940,True,1337lolroflmao,2,"December 28, 2013"
374,234190,True,1337lolroflmao,1,"November 30, 2014"
375,10180,True,1337lolroflmao,2,"December 28, 2013"
376,33900,True,1337lolroflmao,2,"December 28, 2013"
377,261030,True,1337lolroflmao,2,"January 5, 2015"
378,243470,True,1337lolroflmao,1,"December 23, 2014"
379,302830,False,sithjjf,1,"September 1, 2015"
380,570,False,76561198060039459,1,"October 4, 2014"
381,218620,False,OzfurAtlas,1,
382,4700,True,OzfurAtlas,1,
383,212680,True,OzfurAtlas,0,"December 8, 2013"
384,304930,False,76561198065593074,1,"November 6, 2015"
385,730,False,76561198065593074,1,
386,304050,True,76561198065593074,2,"September 23, 2015"
387,203750,True,76561198065593074,0,"May 31, 2014"
388,227940,False,76561198044169764,1,"June 24, 2015"
389,355180,False,76561198044169764,1,"July 22, 2015"
390,730,True,76561198044169764,0,
391,4000,True,76561198044169764,1,"June 3, 2015"
392,236390,True,euzi,2,"July 26, 2014"
393,221100,False,76561198074935997,1,
394,365590,False,76561198074935997,1,
395,299740,True,76561198074935997,2,
396,346110,False,76561198074935997,1,
397,275850,False,76561198074935997,0,
398,400800,False,76561198074935997,0,
399,252490,False,76561198074935997,1,
400,437220,False,76561198074935997,1,
401,730,True,76561197961778802,2,"April 23, 2014"
402,440,True,lucasrash,1,
403,301520,False,76561198016602703,1,
404,433340,True,76561198016602703,1,
405,440,True,thisissohardtomakeoneup,1,"April 12, 2014"
406,4000,True,76561198087010391,2,"April 4, 2015"
407,302830,False,66666669999999,1,"January 5, 2015"
408,220200,True,76561198061174192,2,"September 14, 2014"
409,242760,True,76561198061174192,1,"September 14, 2014"
410,352460,True,ReMiXOfficalSteam,2,"October 12, 2015"
411,322920,True,Wilfire77,1,"March 22, 2015"
412,234792,True,76561198084390807,1,"December 1, 2015"
413,252490,True,76561198084390807,1,"May 10, 2014"
414,304050,False,Mastic,1,"August 1, 2015"
415,297130,True,Mastic,1,
416,397570,True,Mastic,1,
417,550,True,Mastic,1,"December 30, 2014"
418,206420,True,Mastic,1,"December 27, 2014"
419,278360,False,Mastic,1,
420,10180,True,76561198028286104,2,"December 26, 2013"
421,242760,True,tarjla,1,
422,304930,True,tarjla,1,"July 13, 2014"
423,441790,True,tarjla,1,
424,265750,True,tarjla,1,"January 28, 2015"
425,252490,True,tarjla,1,"May 8, 2014"
426,4000,True,tarjla,2,"November 21, 2013"
427,211820,True,tarjla,1,"December 7, 2013"
428,105600,True,tarjla,2,"February 9, 2013"
429,251570,True,tarjla,1,
430,730,True,tarjla,1,"January 9, 2014"
431,233110,False,deathnz1,1,
432,322910,False,deathnz1,1,
433,276340,True,deathnz1,2,"December 26, 2014"
434,227940,True,readingthis4noobs,1,
435,304930,True,76561198104393251,1,"March 13, 2015"
436,730,True,76561198075322986,1,
437,448530,True,redsncrimson,1,
438,304410,True,redsncrimson,2,
439,620,True,redsncrimson,2,
440,274920,True,redsncrimson,1,"December 23, 2014"
441,211820,True,redsncrimson,1,"December 26, 2013"
442,219890,True,redsncrimson,1,
443,49520,True,redsncrimson,2,"May 18, 2013"
444,223510,True,redsncrimson,1,"January 9, 2013"
445,440,True,redsncrimson,1,"November 30, 2012"
446,252950,True,76561198151910904,2,
447,240,True,H1DD3NT3RR0R,1,"March 10, 2014"
448,105600,True,H1DD3NT3RR0R,1,"February 27, 2014"
449,204300,True,H1DD3NT3RR0R,1,"November 25, 2013"
450,730,True,H1DD3NT3RR0R,1,"June 11, 2014"
451,440,False,H1DD3NT3RR0R,1,"September 4, 2015"
452,570,True,H1DD3NT3RR0R,1,"June 18, 2014"
453,268750,True,76561198071214618,1,"May 11, 2015"
454,570,True,76561198115115631,2,"May 22, 2015"
455,570,True,76561198071175142,2,"August 10, 2015"
456,271590,True,76561198071175142,2,"July 7, 2015"
457,360870,True,t8s,1,"May 13, 2015"
458,730,True,t8s,1,"May 2, 2015"
459,230410,True,pikawuu2,1,
460,12900,True,pikawuu2,2,"September 15, 2013"
461,301520,True,Sammeh00,1,"November 4, 2014"
462,6060,True,Michaelele,0,"August 7, 2014"
463,730,True,Michaelele,1,"June 30, 2014"
464,107410,True,Michaelele,1,"August 21, 2014"
465,304930,True,Michaelele,2,"July 16, 2014"
466,335670,True,76561198045754869,0,"August 7, 2015"
467,215080,True,76561198076098774,2,"August 2, 2015"
468,570,True,76561198103253374,1,"February 24, 2014"
469,271590,True,76561198048417105,1,"December 28, 2015"
470,730,True,76561198048417105,2,"February 27, 2015"
471,244160,True,76561198048417105,2,
472,270880,True,76561198048417105,2,
473,8190,True,76561198090842891,1,"January 16, 2015"
474,247730,False,76561198055767971,1,"June 10, 2015"
475,233630,True,76561197998052647,1,"November 27, 2014"
476,303390,False,adohya343,1,
477,221100,True,76561198145436942,1,"August 2, 2014"
478,208812,False,jjas01,1,"November 3, 2014"
479,218620,False,jjas01,1,"October 17, 2015"
480,243120,True,jjas01,2,"October 8, 2013"
481,234140,True,jjas01,2,"December 28, 2015"
482,204450,True,jjas01,2,"May 8, 2014"
483,225260,True,jjas01,1,"February 18, 2014"
484,50300,True,jjas01,2,"October 27, 2013"
485,201810,True,jjas01,1,"June 4, 2014"
486,212630,False,jjas01,0,
487,427820,False,jjas01,1,
488,500,True,3xotic26,1,"February 26, 2014"
489,440,True,3xotic26,1,"February 26, 2014"
490,49520,True,3xotic26,2,"February 26, 2014"
491,550,True,3xotic26,2,"July 15, 2013"
492,206420,True,iamthetrashlord,1,"June 16, 2015"
493,213670,True,iamthetrashlord,1,"July 20, 2014"
494,550,True,3dster,2,"August 24, 2015"
495,231040,True,76561198079990063,2,"March 14, 2014"
496,221100,True,Forty-Nine,1,"August 28, 2014"
497,376300,False,Forty-Nine,2,
498,351040,True,76561198051017916,1,"May 30, 2015"
499,250600,True,76561198051017916,1,"May 26, 2014"
500,227940,True,L4M1NAS,1,
501,437220,True,L4M1NAS,2,
502,221100,True,L4M1NAS,2,"March 5, 2015"
503,301520,False,76561198096766604,1,
504,264710,True,76561197995322437,1,"July 23, 2015"
505,218620,True,imsojipper,1,"July 7, 2014"
506,206420,True,76561198084542731,1,"January 16, 2015"
507,47790,True,76561198084542731,2,"February 16, 2014"
508,570,True,76561198103671881,1,"April 11, 2015"
509,236110,True,mrpfresh,0,
510,346110,True,mrpfresh,0,"October 16, 2015"
511,232790,True,mrpfresh,1,
512,440,True,GamerFag,2,"July 15, 2012"
513,70,True,GamerFag,1,"January 27, 2011"
514,420,True,GamerFag,1,"January 27, 2011"
515,380,True,GamerFag,2,"January 27, 2011"
516,220,True,GamerFag,2,"January 27, 2011"
517,1250,True,GamerFag,2,"December 16, 2010"
518,339230,False,EHS-R3AP3R,1,"September 9, 2015"
519,349700,True,EHS-R3AP3R,1,"October 15, 2015"
520,226700,True,EHS-R3AP3R,2,"November 26, 2013"
521,209160,True,EHS-R3AP3R,1,"December 12, 2013"
522,219990,True,chidori_647,1,"December 15, 2013"
523,213670,True,chidori_647,1,"March 5, 2014"
524,21100,False,chidori_647,1,"November 30, 2013"
525,8190,True,chidori_647,1,"December 2, 2013"
526,215470,False,chidori_647,0,"November 28, 2013"
527,730,True,76561198092227136,2,"September 11, 2014"
528,1250,True,76561198092227136,1,"May 26, 2014"
529,4000,True,hellcat59,1,"July 18, 2014"
530,401650,True,76561198007584361,1,"September 10, 2015"
531,35450,True,tbimperator,2,"May 22, 2012"
532,230410,True,Allahu_Akbar666,2,"January 17, 2015"
533,304930,False,Allahu_Akbar666,1,"October 24, 2014"
534,290020,True,ulramite,1,"October 27, 2014"
535,248860,True,ulramite,1,"February 8, 2014"
536,211820,True,ulramite,1,
537,226700,False,-GM-Dragon,0,"March 8, 2014"
538,244850,True,-GM-Dragon,1,"June 10, 2015"
539,298260,True,76561198054040292,1,"March 13, 2015"
540,370240,False,76561198078799606,0,"October 1, 2015"
541,730,True,76561198078799606,1,"June 29, 2015"
542,233450,True,76561198078799606,1,"May 2, 2014"
543,214420,True,I_DID_911_JUST_SAYING,2,
544,365670,True,I_DID_911_JUST_SAYING,1,
545,440,True,I_DID_911_JUST_SAYING,1,
546,4000,True,I_DID_911_JUST_SAYING,2,
547,221260,True,I_DID_911_JUST_SAYING,1,"May 6, 2013"
548,369070,False,750805,1,
549,91310,False,750805,1,
550,218620,True,diabeticfuck,0,"August 31, 2015"
551,419070,True,diabeticfuck,1,"December 28, 2015"
552,333930,False,diabeticfuck,1,"November 23, 2015"
553,287700,True,diabeticfuck,1,"September 4, 2015"
554,302830,False,76561198054465623,1,"January 10, 2015"
555,24240,True,76561198054465623,1,"January 4, 2014"
556,39800,True,76561198054465623,1,"April 24, 2015"
557,250600,True,76561198054465623,1,"February 21, 2014"
558,105600,True,76561198054465623,2,"July 13, 2015"
559,113020,True,76561198054465623,1,"April 3, 2014"
560,440,True,aaropro,1,"August 29, 2014"
561,221100,True,aaropro,1,
562,238960,True,abiam,1,"November 16, 2014"
563,310370,True,FrankoWalker,1,"January 4, 2015"
564,260410,True,FrankoWalker,1,"December 6, 2014"
565,236390,True,FrankoWalker,0,"May 16, 2014"
566,221100,False,LightfootSword7,1,"November 26, 2015"
567,383870,True,LightfootSword7,2,
568,248820,True,SALTTHEW0UND,1,"June 12, 2015"
569,730,True,SALTTHEW0UND,2,"August 28, 2014"
570,550,True,SALTTHEW0UND,2,"May 20, 2014"
571,204030,True,SALTTHEW0UND,1,"March 25, 2014"
572,440,True,SALTTHEW0UND,2,"December 2, 2013"
573,383080,True,SALTTHEW0UND,1,"November 15, 2015"
574,304930,True,express157,1,"September 2, 2014"
575,242760,True,76561198074644990,1,"February 5, 2015"
576,207230,True,76561198074644990,2,"February 6, 2015"
577,9180,False,76561198074644990,0,"December 24, 2013"
578,730,True,76561198064304806,0,"December 11, 2015"
579,10150,True,TomoeMamiewe,1,"February 16, 2014"
580,4000,True,TomoeMamiewe,1,
